,Locality,Place,Property Size (sq. meters),Number of Floors,Building Material,Total Material Cost (INR),Total Labor Cost (INR),Permit Cost (INR),Utility Cost (INR),Bedrooms,Bathrooms,Supplier,Area of One Room (sq. meters),Cement Cost (INR per bag),Construction Cost (INR),Total Area of House (sq. meters),Number of Doors,Number of Windows,Number of Rooms,Total Cost (INR)
0,South Delhi,Vasant Vihar,200,2,Brick,3800000,1900000,160000,120000,4,3,ABC Building Supply,20,410,5400000,220,10,8,8,7420000
1,North Delhi,Pitampura,180,1,Concrete,2800000,1300000,110000,75000,3,2,XYZ Materials,22,380,4200000,180,8,6,7,4425000
2,East Delhi,Mayur Vihar,220,3,Wood,4500000,2100000,170000,95000,4,3,LMN Suppliers,24,430,6200000,240,12,10,9,8895000
3,West Delhi,Rajouri Garden,190,2,Brick,3600000,1700000,140000,90000,3,2,DEF Construction,19,400,5000000,200,9,7,7,6750000
4,Central Delhi,Connaught Place,210,2,Concrete,4000000,1800000,150000,100000,3,2,GHI Builders,22,390,5400000,210,10,8,8,7560000
5,South Delhi,Hauz Khas,240,3,Concrete,4800000,2200000,180000,120000,4,3,JKL Supplies,25,450,6800000,260,14,12,10,9920000
6,North Delhi,Model Town,180,1,Brick,2900000,1400000,105000,72000,3,2,MNO Construction,21,360,4000000,190,8,7,6,4465000
7,East Delhi,Laxmi Nagar,210,2,Wood,3900000,1800000,140000,90000,3,2,PQR Builders,23,400,5500000,220,12,10,9,8200000
8,West Delhi,Janakpuri,220,2,Brick,3600000,1700000,140000,95000,3,2,STU Materials,22,410,5200000,220,10,8,7,7305000
9,Central Delhi,Karol Bagh,200,1,Concrete,3200000,1600000,130000,85000,3,2,VWX Suppliers,20,390,4500000,180,8,7,7,5495000
10,South Delhi,Saket,240,2,Wood,4200000,2000000,160000,110000,4,3,YZA Construction,25,420,5800000,240,12,10,9,9560000
11,North Delhi,Rohini,190,1,Brick,3100000,1500000,120000,80000,3,2,BCD Materials,19,370,4300000,190,8,6,7,5055000
12,East Delhi,Preet Vihar,210,2,Concrete,3700000,1800000,140000,95000,4,3,CDE Builders,24,420,5700000,220,14,12,10,7745000
13,West Delhi,Dwarka,220,2,Wood,4000000,1900000,160000,110000,4,3,EFG Suppliers,25,430,6000000,240,12,10,9,8380000
14,Central Delhi,Chandni Chowk,180,1,Brick,3200000,1600000,130000,85000,3,2,HIJ Construction,20,390,4600000,180,8,7,7,5545000
